symptom,class
지방이식으로 인해 신경이 손상받을수 있는건가요?,NR
뒷 목이 뻐근하고 머리가 아프고 속이 울렁거려요... 자꾸 식은땀도 나고 토하고...감기몸살일까요?,NR
한번씩 손가락이 저릴때가 있습니다.,NR
머리가 저러요,NR
머리가자꾸아프고 어지럽고 목이자꾸말라요,NR
사흘째 열이 떨어지질 않아요,INFC
오른쪽 관자놀이 부분이 스치기만해도 아파요,NR
코를 세게 푸는것과 뇌혈관 건강 인과관계 문의,NR
갑작스런 운동 후 메스꺼움 어지러움 무기력함,NR
어지러움증의 원인,NR
누워서 뒤척일때 현훈 증상이 있어요,NR
머리가 순간적으로 0.5초에서 1초정도 어지럽습니다.,NR
사지부전마비 . 주기성마비는 어떤병인가요?,NR
안와정복술 후 감각이상,NR
몸의 감각이 무딥니다.,NR
갑자기 기절햇어요,NR
여자 왼쪽밑가슴 명치통증,CS
머리 쪽에 무거운 느낌이 있습니다,NR
왼쪽 다리가 저려요.,NS
고혈압으로인한현상인지 궁금합니다,CA
왼쪽 눈밑떨림,NR
왼쪽 팔 저림 및 통증과 어지럼증 관련 문의,NR
왼쪽 팔 통증과 저림 증상,NR
왼쪽 눈 밑 떨림,NR
혈관에 문제가 있을수도 있나요?,CA
지간신경종이라는 판명을 받았습니다,OS
어깨 뻐근거림이나 왼쪽 팔 저림이 낫지가 않습니다,NS
실신을 하고 그뒤로 계속 어지럽네요,NR
손이 떨립니다.,NR
옛날부터 심장이 자주 두근두근거립니다,CA
현기증이나 어지럽습니다,NR
2016년 9월에 뇌지주막하수술을 했습니다.,NS
오른쪽얼굴 반만 피부가 너무아프고 내살같지않음,NR
배뇨문제,URO
한달전부터 손발저림이 있었어요,NR
션트수술후 고주파온열치료 가능여부입니다.,REHM
뇌낭종 또는 접협동용종이 관찰,NS
귀 이명이시작되고 구안와사가왔습니다,NR
너무 어지럽고 배도 아프고 토할꺼 같더라구요,NR
의심되는 질환이 삼차신경장애인데 답변 부탁드립니다,NR
현기증 같은 느낌,NR
원인과 치료방법 정확한 진단을 위한 병원등,NR
팔 다리 손 발이 저려요 ,NR
한쪽 안구 주변으로 아픈 증세,OPH
머리가 떨리고 오른쪽 눈이 감기는듯합니다,NR
수술과 상관이 있을까요?,NR
빈맥이 좀 불규칙적으로 생기고 있습니다.,CA
머리가 깨질듯이 아파오더니 가슴이 답답해서 앉았습니다,NR
간접흡입시 나타날수있는 증상,IP
뇌졸증 전조는 아닌가해서 걱정입니다,NR
어지러워서 일어날 수가 없었고 왼손에 힘도 빠져서 물건을 들을 수도 없었습니다,NR
췌장암일까 너무겁나요..명치랑 등허리가 많이 아파요,GI
특히아침에  오른손이 저려요,NR
뜨거운물 샤워를 10분 정도 되면 이미 숨이 차기 시작해서 불편합니다,NR
뇌종양 수술 9월이면 2년입니다.,NS
뇌출혈수술 후  요구르트먹을때,NS
팔다리가 저리고 약간 떨리는 느낌이 듭니다,NR
 옆으로 돌아만 누워도 불편한통증이 찾아와서 괴롭습니다,NR
어지러움 및 현기증,NR
머리 울퉁불퉁해요 뇌출혈,NS
피곤한데 몇 시간을 누워있어도 잠이 안 옵니다ㅠㅠ.,NR
어지럼증 뒷머리 오른쪽 통증 시야 흐림,NR
족저근막염 치료에 해가 되는지 궁금합니다.,OS
혈전도 없앨수있는 방법이있나요,CA
혈액순환이 안되서 걱정입니다.,CA
혈액순환에문제가있나요,CA
우측다리가 저리고  따끔하거나 불편합니다.,NR
대략 3년정도 되었는데 여름철에 발이 시립니다.,NR
누워있다가 일어나면 어지러움을 자주 느낍니다,NR
사지힘빠짐,NR
허리협착증이있어서치료중입니다,NS
맹장염 수술후,GI
오른 손목이 이상합니다.,OS
배꼽 염증일까요?,DERM
왜머리나얼굴에서는땀이나질않는지궁금합니다,NR
췌장쪽 질환이 의심된다고 할수있을까요?,GI
일자목입니다,KTM
측만증 좀 심한편인데 해도 좋은거죠,NS
전기가 오듯이 발이 지릿지릿 합니다,NR
한쪽안면 움직임,NR
새벽에 잠에서 깨요,PSY
저...학생인데 척추측만증같아요,NS
협착증과무렵태형성관절염을 운동으로 치료가가능한지 ?,NS
시야가 흐려지고 어지러워서 움직이면 쓰러질 것 같은 증상이 있습니다,NR
종아리가 무겁고 아파요.,NR
심장 시술 받기 전보다 심장쪽이 더 안좋아진것같아요,CA
가끔 왼쪽 머리부분이 저리는듯한 느낌이 들때가 있는데 왜 이런건가요,NR
오른발 발등 부분의 감각이 매우약해 졌어요,NR
관절등이 통증이 있습니다.,NR
목디스크진단을 받았습니다,NS
아침에  일어나면  손가락이  뻣뻣 합니다,RHEU
왼쪽 발바닥에 감각이 이상합니다,NR
어지러움이 심각해졌어요,NR
어떤 운동을 해야할까요,REHM
2형당뇨,ENDO
저린증상,NR
화끈거린다는 감각,NR
집중을 좀 많이하면 머리가아픈데 이거 왜이럴까요?,NR
찌릿한 느낌으로  아팠어요,NR
족저근막염이 있는데 축구를 해도 되나요?,OS
루게릭병 걱정되서 질문합니다...,NR
안쪽이 끊어진듯 바늘로찌르듯 아픕니다,NR
오른쪽 측두부 편두통이 심한 편입니다,NR
머리에서만 땀이 세수한듯 떨어집니다,CS
어깨주사도 맞을때 뿐이고 팔이 저리기 까지 합니다,OS
전기가 흐르는것 처럼 찌릿찌릿한  증상이 간간이 발생되고 있습니다.,NR
오른쪽 다리가 좀 땡기는 느낌이 듭니다.,NR
오른쪽 윗뒷머리 쪽이 가끔씩 쿡쿡 쑤시면서 아픕니다,NR
한쪽 팔,NR
신경과에 가야하나요??? ,NR
귀주변. 우측 후두부 등 통증이 있습니다,NR
무릎관절 통증이 예전에 비해서 너무 자주 오는데요,OS
이틀전부터 왼쪽 엄지,OS
지간신경종이 있으면 등산이나 걷기를 하면 안되나요?,OS
가끔 눈을뜨기가 힘들고 집중할수가 없습니다,NR
발바닥이 넘 화끈거리며 많이 서서 일하면 아프기도해요,NR
왼쪽 팔이 손목 부터 저려 오는데 원인이 될 만한게 있을까요?,NR
왜 이렇게 두통이 잦을까요?,NR
양쪽 발가락이 바늘찌르듯이 아픈데 그 이유가  무엇때문인가요,NR
어지럽고답답하고 구토도하고싶고 얼굴에땀이흐릅니다,NR
나이61 몸무게 70  키169왼쪽 발바닥 이 저려요,NR
담배냄새만 맡으면 두통과 목 뒤가 아픕니다.,NR
오른쪽 종아리와 바깥쪽 발바닥이 저린듯한것이 따끔따끔한 저림이 있습니다,NR
뒤통수가 가끔 찌릿찌릿한데 이유가 뭘까요,NR
단순히 빈혈인가요?,HEON
제대로 걸어야하는데 제대로 걷지를 못합니다.,NR
양쪽종아리에 쥐가 나서 잠을 푹자지를 못하고 자꾸 신경이 쓰이네요,NR
뇌수막염이나 뇌종양 같은걸까요,NS
긴장이돼서 심장이 빨리뛰는건지 심장이 빨리뛰어서 긴장이되는건지 잘 모르겠습니다,CA
후두 신경통 문의좀 드릴게요~,NR
목욕하고 나면 어지럽고 앞이 잘 안 보여요.,NR
왼쪽 귓볼에 사선의 주름이 있습니다,DERM
저녁에는 허리부터 다리가 많이아파요,NS
어떻게 하면 어지러움을 멈출 수 있을까요,NR
볼의 감각이 이상합니다 ,NR
발가락과 종아리에 쥐가 자주나는데요,KTM
잠을 푹 못자서 너무 스트레스입니당,PSY
왼쪽 손가락 힘빠짐 새끼손가락 저림,NR
왜 발이 화끈화끈하고 감각도 이상한걸까요,NR
쌍둥이 임신 16주차이틀간격으로 두통이 너무심해요.,NR
콕콕 찌르는듯한 통증이 종종 있습니다,NR
한달에서 두 달 간격으로 머리가 아파오는데 왜 그러는지 궁금합니다,NR
왼쪽 목부분이 차갑고 왼쪽 뒤통수에 편두통을 자주느끼고 있습니다.,NR
종아리 알부분이 쉽게 피로해지고 뭉쳐서 하루에 한번은 통증이 발생합니다.,NR
루게릭병 걱정되서 질문합니다,NR
운동 유발성 두통,NR
머리가 일주일이 넘도록 어지러워요,NR
어지러워요. ,NR
얼마전부터 오른손 엄지 손가락이 심작박동비슷하게 떨립니다,NR
왼쪽 귀 옆쪽 머리에 진동 혹은 두드림같은 현상이 발생했는데요,ENT
오른쪽 팔에서부터 엄지손가락까지 저리면서 아파요,OS
신경에 문제가있는걸까요,NR
오른쪽 다리가 저려요,NS
왼쪽머리가 쑤시듯 아픕니다.,NR
1년전 대상포진 온이후 좀피곤하면 콕콕 진통이 느껴집니다,NR
편측 저림(찌릿함) 관련 문의드립니다.,NR
오른 쪽  팔이 어깨쪽 손목쪽 가릴것 없이 절이고아픈 증상이  수시로  나타납니다 ,NR
다리가 찌릿 찌릿하고 저리다.,NS
눈을 뜰 때 눈 윗부분이 아프고 두통이 있고 구역질도 납니다,NR
눈 아래쪽 경련이 오래 지속되고 있어요ㅜ,NR
(왼) 검지손가락 손떨림,NR
자주 다리에서 벌레가 기어다니는 느낌도나고 다리가 불편한 증상을 달고다녔어요,NR
과음 다음 날이면 손이 떨려요,NR
가슴이 가끔답답하고 ,CA
뒷통수쪽이 아프고심박수가 111이네요.,NR
불안한정도가 곧 제가 쓰러져 기절할거같다는 기분이어서 이렇게 질문을 올립니다.,PSY
얼마전에 갑자기 양손가락끝이 쥐난것처럼 저린경험이 있습니다,NR
요즘 얼굴 오른쪽 볼주변에 마취주사 맞은거 처럼 이질감이 있고 오른쪽 팔 손 경직 . 저림 증상이 있습니다,NR
한 3일전부터 손이 따끔따금 거리는데요.,NR
현재 미주신경실신,NR
한쪽 발이 감각이 살짝 이상하고 잘 때 뜨끈한 기분이  듭니다,NR
손 전체 (주로손가락)이 저립니다 (손저림),NR
갑자기 앞이 티비화면처럼 지직 거리고 하얘지면서 귀도 잘 안들렸습니다 ,NR
수술부위 근처 마취가 덜 풀린것 처럼 피부 느낌이 잘 안나는데.. 부위가 이런경우도잇나요?? ,NR
늘 소화가 불편하고동시에 편두통이 심합니다,NR
정확한 진단을 받은적없습니다( 실신),NR
한 서너달전부터 계속 왼쪽 아래 눈꺼풀이 파르르르 경련이 일어나고있는데요,NR
 숨이 멎을것같은 약간의 불안증세와 새벽에 열감과 함께 팔다리 저림증상도 있습니다,NR
날개뼈사이 중앙 척추부분이 저리고 통증이생기고 아침에일어나면 굳은거같고 염증 느낌도있습니다,NS
20대 머리가 2일동안 어지럽고 속이 탁 멕키고 구토하고 너무 힘들어요,NR
오른손이 저려요 많이쓰거나 무거운걸 들을때는더많이요 ,NR
 맥박에 맞춰 몸이 작게 떨리는게 요새 느껴지네요,NR
4일전부터 손바닥이 따금따금 거려요,NR
제가 미주신경성 실신증상이 원래있습니다,NR
눈밑떨림현상은 예전에 피곤하면 가끔 생겼는데,NR
수부 골절 / 주관증후군  부탁드립니다.,OS
요즘 머리가 빙빙돌고 눈앞 시야가 흐려지는 증상이 있습니다.,NR
자나팜정 계속 먹어도될까요?,PSY
하체에 근육이 많은 편인데 요즘 양반다리를 하면 자꾸 다리가 저립니다,REHM
정수리두피 따가움 화끈거림,DERM
정수리 두피 따가움,DERM
가끔 눈꺼풀이  떨리는 현상이 있습니다,NR
 목에서 뒤통수로 올라오는부분을 만지면 바늘로 찌르는듯한/찢어지는 듯한 통증이 있네요.,NR
신경염증 방치하면 어떻게되나요,NR
평소 협심증으로 약을 복용하고 있으며 몇년전부터 어지러움증이 있습니다,CA
안녕하세요. 24살 여자입니다3일째 잠잘때만 왼쪽손이찌릿찌릿하면서 저리거나 쥐가 옵니다,NS
우측 엄지발가락 부근이 저리거나 통증이 운동을 하고나면더 심해집니다.,NR
운동하고나면 오른쪽 발가락 저림현상이 더 심해집니다. ,NR
뇌출혈 이유 무엇인가요?,NS
편두통 때문에 미치겠습니다.,NR
걷다가 멈추면 어지러우면서 머리에 쥐가 나고 소름돋고 너무추워져요,NR
수전증이 조금 심합니다,NR
한 일주일들어 설사가 잦고 머리가 아픕니다 ,GI
허리가 뻣뻣 팽팽한 느낌이 듭니다.,NS
 좌측 뒷골이 땡기고 아프거든요 ,NR
안구 떨림 증상,NR
쪼그려 앉았다 일어서면 심하게 어지럽고 시야가 보이지 않고 한달째 감기가 낫지 않고 있습니다.,NR
팔굽혀펴기 후 머리 통증,NR
실신이 반복됩니다,NR
43세 남성인데오른손으로 손글씨를 쓰려고 하면 손이 떨리고 손가락에 힘이 들어갑니다,NR
목에서 어깨로 내려오는 부분이 뻣뻣하고 고개를 뒤로 돌리기가 힘듭니다.,KTM
신경과에서 다리가 저려서 먹는 약인데 효과는 지낼만하여 계속 복용중입니다,NR
양쪽 다리가 저립니다 ,NR
저는 62살인데 체온 조절이 안되요,NR
다리저림과 관련하여 질문을 하려합니다. ,NS
오른쪽 발과 오른쪽 손 특히 4번째 5번째 손가락 쪽이 저립니다,NR
머리가흔들리는 두통이심합니다,NR
몸떨림 증상이있습니다,NR
심박수가 갑자기 올라가면,CA
뇌혈관 질환 있으면 수면 위 내시경 받아도 되나요?,GI
 손목과 발목 관절이 간지러운것 때문에 문의 했는데 류마티스는 아니라고 하네요,NR
왼쪽 손끝과 발가락끝에 찌릿한 통증이 있습니다.,NR
얼굴ㆍ다리가 한쪽 부분만 이러는건 다른증상을 의심해볼수도 있는건가요?,NR
아기머리부딪힘관련질문,NS
상세불명의 중추신경계의 탈수초질환,NR
입주위 경련때문에요 당장 한의원이나 신경과 같은데를 가봐야할까요?,NR
교감신경차단술(카이로케인0.25%)후 골반과 발바닥아치 정상으로 돌아왔습니다.,AN
엄지발가락에서 부터4번째가 발가락이  찌리찌리 저니고 심할땐 손으로 주물러야 됩니다,NR
미주신경성 실신 치료할 수 있나요??,NR
몸에 감각이 없어요.,NR
눈밑 애굣살부근이 자꾸 떨려요,NR
눈앞이 뿌옇게 보이고 어지러움,OPH
뇌출혈로 입원치료후 퇴원후 재활과 운동으로 예전에70%몸상태는 된듯합니다,NS
가끔씩 자다가나 자고일어나서 오른손내지 양손에 쥐가나서 부은 느낌이들고 눌러도 감각이 없습니다.,NR
자율신경검사 집근처 큰병원같은데 가면 검사받을 수 있는건가요?,NR
가끔씩 다리가 저릴 때가 있어요,NS
웃을때 힘이 풀립니다 ,NR
스마트폰을 누워서 보고있으면 왼쪽 네번째랑 다섯번째 손가락이 저려요,NR
눈 밑에 살부분이 자꾸 두근두근 뛰어요,NR
잘때마다 얼굴이 따끔거리고 가끔 활동할때도 그래요,NR
갑자기 앞이 흐려지며 정신을 잃은 게 2번 있다고 합니다.,NR
양쪽 세번째 네번째 발가락 윗부분 통증과 양쪽 발목이 시리면서 아파요,NR
손 발 얼굴이오그라들고  숨쉬기 힘들면서  몸통을 조이는듯  하면서 누군가 내목을  조여오는  증상을   2시간정도  나타납니다,NR
뇌출혈하고나서,NS
뇌출혈뒤 상태에 대해 문의합니다,NS
걸어갈때 자꾸 넘어질것 같아요 ,NR
심할때는 귀에서 삐 소리가 나면서 눈 앞이 깜깜해집니다.,NR
계속 머리아프고 어지럽습니다.,NR
오른쪽 다리가 절인는데 이유를 알수가없어요,NR
요즘 앉아있으면 머리에 피가안통하는 느낌이 들며 두통이 찾아올때가 꽤 여러번있네요,NR
한쪽눈이 계속떨리는데 파르르떨려요 ,NR
왼쪽눈두덩이가 며칠전부터 가끔씩떨려요,NR
피곤하면 오른 발등 발가락쪽이 따갑고 저리다가 좀 걷고나면 덜 아픈데 원인이 무엇인지 궁금합니다,NR
아버지가 외상성지주막하출혈입니다,NS
몸이 무겁고 손바닥이 저린느낌이 듭니다,NR
제가 심장판막 수술받았었거든요. ,CA
안면마비 증상일지요? 혹은 전조일까요? ,NR
뇌출혈대해서 문의합니다,NS
사정 후 극심한 두통이옵니다. ,NR
뒷머리가 무거워요ㅠ,NR
어지러워서 병원에가서 MRI찍고 이비후과도검사받아도 아무이상없다고하는데 왜 어지러운지모르겠네요 ,NR
피곤이 가시질 않네요,KTM
몇달전부터 오른쪽머리가 바늘로찌르는듯한통증을 보였다 안 ...,NR
요새 다시 소변을 지리시네요.,URO
뇌 MRI를 찍고 궁금한게 있는데요,NR
5일정도 왼쪽 손가락 끝 세번째 네번째 손가락 끝이 계속저리고 화한 느낌이 있네요.,NR
자율신경검사,NR
머리  정수리,NR
뇌종양인가요..?,NS
뇌종양인가요?,NS
움직이거나 자세를 바꿀 때 빠르게 어지러운 동시에 손끝이 저리는 증상이 나타납니다. ,NR
수전증이 생겼어요,NR
전정신경염이 있어서 재활운동을 하고 있습니다.,NR
가끔 뜨건물로 샤워하면 쓰러질뻔한적이 있어요,NR
후두신경차단술이 이마쪽 통증에도 도움이 된다는거죠?,AN
자고 일어나면 손과 몸이 굳는 느낌 들고 붓습니다.,NR
약 2주전부터 양 손에 미세한 손떨림 증세가 나타납니다,NR
손으로 뭘작업을 할려고하면 작업도중에 손가락이 자주 마비가되는 현상이 나타납니다,NR
경동맥초음파 검사결과  왼쪽부위에 2.17mm 동맥경화반이 있다고 합니다.,NR
걷기운동  20분정도하면 왼쪽팔이 저려옵니다,NS
팔 겨드랑이 저림 신경염증,NR
오른편 팔다리가 저립니다.,NR
무릎이 시립고 냉기가 나오곤 했는데 이제는 오른쪽  발목주위가 시리고 냉기가 나오면서 시립고 찬기운이 나옵니다 ,NR
가끔 온 몸에 힘이 빠지고 식은땀이 많이 나고  배 가운데가 아프고 전신이 욱신거리듯 아플 때가 있습니다.,NR
몇일전부터  오른쪽얼굴이 치과에서 마취맞은 느낌 얼얼해요,NR
갑자기 앞이 하얘지면서 다리에 힘이 풀렸어요,NR
뇌출혈후유증관리와 회복에좋은방법있으면 알려주시면감사하겠습니다.,REHM
팔 겨드랑이 저림과 신경 염증,NR
안녕하세요. 요즘 밥을먹어도 어지럽네요. ,NR
교감신경절제술 질문있습니다,CS
깨어났을때 팔이 저려서 무감각해지는데 무슨병이 있는건가요?,NR
몇 주 전부터 머리에서 진동이 느껴집니다. ,NR
몇 주 전부터 머리에서 진동이 느껴집니다.,NR
뇌동맥류 수술 후,NS
오른쪽  엄지발가락 왼쪽 끝쪽이 두달 전부터 감각이 다른 발가락과 다릅니다,NR
경구피임약 중단가능한가요,OBGY
요리 시연 보다가 갑자기 어지럽고 앞이 흐리게 보이고 식은땀도 나면서  토할 것 같고 쓰러질 것 같아서 쉬었어요.,NR
 어제밤에도 머리에 쥐가 나는 바람에 잠을 깨 회복후 다시 잠이 들었습니다 ,NR
체력이 많이 안좋아요.,KTM
머리가 어지러워서 신경과 검진을 받아보니 전정신경염. 이라고 하는데..증상이 어느정도 지속되는지요,NR
26살 직장인인데요즘두통이심해서요,NR
시야 결손 증상 후 편두통이 오는 것이라고 하였습니다,NR
왼손엄지손가락마비증상,NR
뇌전증에는  커피가 많이 안좋나요?,NR
악 한 시간정도 걸으면 왼쪽 손등이 저리 합니다,NR
갑자기 가슴이 답답해오고 다리부터 몸에서 힘이 빠져나가야 한다고 할까요? ,NR
자주 너무 어지러워요 ,NR
삼차신경통일까요?,NR
손바닥.팔.다리.발바닥 저림(따끔한증상?)이 있습니다.,NR
수전증이 심한것같은데이유와 나아질수 있는 방법을 알수있을까요??,NR
오른쪽 다리 무릎밑으로 해서 저리는 증상에 대해 문의합니다,NR
제가 스트레스를 많이 받는성향인데 자율신경계의 이상인건지 궁금합니다,NR
고통스러워요 두통이가장힘듭니다,NR
삼차신경통일까요? 치통일까요?,NR
나이 64 세 수전증증약을 복용중인데 평생먹어야된다는데  부작용은없는지 궁금해요.,NR
오른쪽 다리가 부었어요,NR
공복 2~3시간 후 음식 섭취시 심하게 어지러움 현상의 원인이 무엇일까요?,NR
 좀배고프다가 식사를하시면(제생각) 식은땀을흘리시고 앞이흐릿하고 멍해지고 눕고싶어지시고 정신이혼미해지실때가있으시답니다 ,NR
요즘 손가락이 제멋데로 움직입니다,NR
왼쪽 손가락이 내 의지와 관계없이 움직일때가 있습니다.,NR
뇌출혈 후 운동,REHM
대변보다가 기절했습니다. 이유가 무엇인가요?,NR
운전시 흥분상태(급과속)되면 약 20초가량 정신을 놓을것 같은 느낌이 듭니다,NR
 자주 답답하고 가슴이 먹먹합니다.  많은답변 부탁드릴게요!,NR
뒷머리 아래가 찢어질듯이 아픔.,NR
손발이 뻣뻣한 느낌입니다 어떤운동이 좋을까요 ,NR
허리는 안 아픈데 팔다리 저림이 있을수 있는지요?,NR
팔다리가 시리고 저리고 쥐가나고 마비가 옵니다,NR
잘 놀다가 입술이 파래지고 머리가 아팠다는데 병원에 데려가봐야 할까요?,NR
뒷머리아래쪽이 너무아파요 ,NR
남편이 손을쓰는 일을하려고하면 미세하게 머리를 흔듭니다 ,NR
1년전부터 왼쪽 관자쪽두통과 눈떨림증세가 있었습니다,NR
2주전 뇌혈관 조양제시술을받았습니다,NS
뇌출혈 수술후 4년 지났는데  MRI 다시 찍어야 하나요?,NR
제가 건강검진에서 공터기안증후군이라는 결과를 받았습니다,NR
뇌혈류 초음파 검사상 혈류속도가 150되는 부분이 있다면 mri와 mra를 찍어보는게 나을까요?,NR
전신 근육에서 통통 뛰는 느낌이 듭니다,NR
잦은 두통으로 아스피린계열 진통제를 자주먹는데 괜찮을까요?,NR
오른쪽 손가락 (엉지검지중지) 끝마디 부분 감각이 무디고 재려요.,NR
아이디라는 약을 복용해도 될까요?,NR
다리에쥐가나거나 갑자기 힘을쓰는 특정한경우에 어지러움증을 느끼며 무언가 눈앞에다가오는 그런현상이 있습니다.,NR
집안에서는 잘모르겠는데 밖에나가서 걸을때 빨리 걷는게 힘들어요 쓰러질꺼같아서요,NR
머리에 번개치는 것처럼 두통이 있어요,NR
머리가 무겁고 맑은느낌이없습니다.,NR
일을많이해서 그런지 오른손목은 저리고  왼손 중지가 자주 저립니다 ,NR
최근에 팔이 자주 저리고 힘이 쭉쭉 빠지는 느낌이듭니다 ,NR
오른쪽 손가락 전체가 자주 저린데 왜 그런건지요,NR
머리 혈관이 심하게 꿈틀거립니다,NR
평소 어지러움증이 있습니다.,NR
왼팔 왼다리가 약해진거 같아요,NR
바지 천이 스치면 매우 쓰라리듯이 아픕니다. 왜 이럴까요?,NR
눈 밑 떨림과 답답한 증상이 있어요.,NR
오른손의 엄지손가락과 검지손가락을 이어주는 손등 부분의 근육이 미세하게 떨립니다.,NR
왼쪽이 전체적으로 저리고 입술감각도이상하고 가슴도 조임 때문에 잠을못잤습니다,NR
요즘 부교감신경 교감신경 전환이? 잘안되는거같은 느낌이더듭니다,NR
입이돌아간적이있어서 성형쪽으로 치료할수가없을까요,PS
5월7일부터 왼쪽 엄지손가락이 져립니다,NR
요즘 중심잡기가어려워지고 눈밑피부랑 입주변피부 얼굴피부가 잘떨려요 뭐가문제일까요??,NR
약 일주일 전부터 양쪽 종아리가 저렸고 오늘은 손발이 저리고 조금 붓기 시작했습니다,NR
가끔씩 온도변화가 심한곳에 가면 뒷골이 댕겨요,NR
최근 한달간동안 목과 어깨 등과 허리에 통증이 있고 두통이 자주 납니다 ,NS
근 일년동안 왼쪽 눈밑이 떨립니다.,NR
낮잠을 15분정도 자고 일어나면 심장이 미친듯이 뛰고 머리도 띵해요.,NR
5년전부터지금까지얼굴에가끔씩경련이 일어납니다,NR
안녕하세요 어지럼증때문에 질문드립니다,ENT
척추유합술후 호전되지않는 발저림과 마약성진통제?,AN
집사람이 성관계하면 자꾸머리가 아프다고합니다 ,NR
아침에 일어날 때마다 앞쪽 이마와 정수리 부분으로 머리가 아프고 피곤함을 느낍니다,NR
혹시 뇌종양 증상 일까요?,NS
지난 한달동안 눈밑떨림으로 마그네슘 섭취했는데 약을 바꾸려합니다,NR
아이디 캡슐 복용 문의드립니다,NR
제가 얼마전에 루게릭병 판정을 받아습니다,NR
어머니께서 66세 이신데 대학병원에서 혈류검사를 했는데 왼쪽 뇌혈관이 20% 정도  막혀있다고 합니다.,NR
자율신경이 이상한거 같아요 ㅠㅠ,NR
갑자기 왼쪽 관자놀이가 아픕니다,NR
뇌질환관련하여드립니다..,NR
저희아버지가 치매진단을받으셨습니다,NR
일주일 전부터 왼쪽 귀 있는 머리 쪽에 편두통이 있습니다,NR
다리가 자주 저려요,NR
왼쪽귀옆이 자주 찌릿찌릿 합니다,NR
근래들어 자꾸 머리 한쪽이 아픕니다,NR
요즘 계속 힘이 없는데~왜?그럴까요?,NR
왼쪽뒤 두통(콕콕 쑤시는)이 4일째 계속 되고있고 안면이 약간 쩌릿쩌릿한 느낌도 듭니다.,NR
왼쪽 몸이 시린 증상,NR
눈 떨림 원인과 치료법이 궁금 하네요,NR
신경과약이 부작용이 궁금하네요,NR
머리가 조이면서 울립니다..,NR
뇌가 시린증상,NR
폰이나 컴퓨터 스크롤을 내릴때 눈이 핑 돌고 어지럽고 평상시에 다닐때도 그럴 때가 많아요 ,NR
두통이 2주동안 지속적으로 특히 잠자고 일어날때 더 심해요,NR
 제 몸의 모든 감각들이 제 것이 아닌것처럼 굉장히 멀게 느껴집니다,NR
요즘들어 목뒤가 많이 뻐근하고 가끔 뚝하면서 혈관이 갑자기 막혔다 뚤리는 느낌의 증상이 있습니다,NR
어지럽기도하고 머리도아프고 목도뻐근하고 심장부정맥 증상이 좀있습니다,CA
숙취 증상이 손이나 발 얼굴등이 계속 전기오듯이 저립니다. ,NR
두통땜에 질문드려요,NR
 수면중 근육경련이 심하게 제가 느끼는 정도로 발생도 하고있습니다 ,NR
한달전부터. 얼굴이 붓고 눈이 쏟아질것? 같은느낌이  나서 굉장서 불편합니다..  ,NR
왼쪽눈 주위가 끔벅거립니다,NR
얼굴도 특히 입 주변의 근육이 당기는 현상이  지속되고 있는데 진료를 받는다면 어느 과를 택해야 하는지요.,NR
낮에 의자에 앉아 쉬는 상태에서 맥박이 80회이상 뛰는게 1주일 정도 되었고 뒷머리부분이 띵한 느낌입니다.,NR
뒤통수 당김증상,NR
허리 디스크 시슬을 한지 10개월이 지났는데도 발가락이 저립니다,KTM
퇴행성 관절염  앉았다가 일어나는게 너무너무 힘이듭니다,OS
편두통이 심합니다. 보통 하루 아프고 말았는데,NR
왼쪽골이  아파요,NR
발작 증상때문에 뇌파검사를 했는데 이런 말이 적혀있더라고요... 이거 무슨 뜻이에요??,NR
콕콕 찌르는 듯한 두통이 좌측후두부에 나타나는데 3일째 입니다.,NR
최근들어 머리가 아프고 눈의 초점이 안맞아 어지럽습니다 ,NR
며칠전 부터 뒷머리가 찌릿찌릿 하고 메스껍고 음식을 먹으면 구역질이 올라오는데요,NR
다리 근육 떨림 증상이 있습니다.,NR
지금허리도안좋고정신과에서수면제를처방받아먹고있습니다.,PSY
두통이 있는데 병원가야하나요,NR
2주째 두통 머리 속이 아프고 잠에서 깰때 두통이 심합니다,NR
팔이 저려서 병원에 갔더니 어깨힘줄이 부었다고 하서 약먹고 물리치료를 한번 받았었는데요,REHM
요즘자주뒷골이땡기고눈도빠질거처럼아픕니다,NR
자전거를 타고난 후 특히 오르막 구간을 타고난 후 어지럽고 의식을 잃을것 같은 증상이 있어요.,NR
갑자기 땅이 빙빙 돌아서 주저앉아 가만히 있으면 괜찮은데요 어디과로 진료 받아야 될까요?,NR
편두통이랑 심박수랑 관계가 있는지요,NR
눈밑이 일주일 넘게 계속 떨립니다,NR
한번씩 가슴두근 거림이 느껴지고 흉통도 있는듯해서 심전도와 심장초음파 검사를 받았지만 모두 정상이라고 합니다..,NR
제가공황장애있어서심전도자주체크합니다,PSY
두통이 이주일째 어지러움과 속울렁거림 힘빠짐때문에 고생하고있습니다.,NR
편두통이 너무 심합니다.,NR
심장이 느리게뛰고 호흡이안되다가 몇초이내에 정상적으로 돌아옵니다,NR
목을 돌리기만해도 어지러워지고 머리관자놀이 부분에 딱딱하면서 풀어줄수록아픈데 병원가봐야하나요?,NR
눈에 압력이 높아지는 느낌과 함께 관자놀이에 두통이 옵니다 ,NR
머리가 자주 아파요 ,NR
이 증상들이 미주신경성실신 인가요? ,NR
근전도 해석,REHM
20세남성입니다. 한달전부터 다리근육떨림이 멈추지 않습니다,NR
